Date;Open;High;Low;Close
01-Jan-14;754.97;775.35;754.97;771.40
02-Jan-14;773.44;820.31;767.21;802.39
03-Jan-14;802.85;834.15;789.12;818.72
04-Jan-14;823.27;859.51;801.67;859.51
05-Jan-14;858.55;952.40;854.52;933.53
06-Jan-14;936.05;1017.12;905.71;953.29
07-Jan-14;946.49;965.74;802.00;802.00
08-Jan-14;795.99;870.68;776.18;842.72
09-Jan-14;841.47;864.36;804.14;846.86
10-Jan-14;846.69;871.19;822.60;868.48
11-Jan-14;867.32;921.48;861.72;913.95
12-Jan-14;919.60;928.52;851.17;863.22
13-Jan-14;860.19;861.29;806.05;841.20
14-Jan-14;843.17;855.69;825.66;833.27
15-Jan-14;833.12;872.81;830.86;860.90
16-Jan-14;860.29;866.16;835.63;835.63
17-Jan-14;834.49;842.91;797.63;814.64
18-Jan-14;816.07;841.49;816.07;840.00
19-Jan-14;839.66;870.96;825.53;870.96
20-Jan-14;871.39;886.39;853.87;870.20
21-Jan-14;869.65;881.20;855.93;863.91
22-Jan-14;867.21;870.15;837.36;845.59
23-Jan-14;845.46;851.57;819.32;822.04
24-Jan-14;822.43;822.43;783.58;797.07
25-Jan-14;796.24;861.45;792.96;853.61
26-Jan-14;853.68;897.02;844.86;885.28
27-Jan-14;884.60;893.00;757.11;771.39
28-Jan-14;774.02;832.50;766.98;812.51
29-Jan-14;809.96;836.87;809.85;826.00
30-Jan-14;826.02;830.50;799.06;819.03
31-Jan-14;818.43;831.87;812.60;829.92
01-Feb-14;828.61;853.52;827.11;832.58
02-Feb-14;832.90;844.72;820.67;825.37
03-Feb-14;824.08;826.48;807.22;823.83
04-Feb-14;823.77;840.17;820.94;827.96
05-Feb-14;829.96;837.32;811.91;811.91
06-Feb-14;815.59;819.81;770.59;781.55
07-Feb-14;783.20;783.20;654.35;712.40
08-Feb-14;699.57;721.82;661.87;673.92
09-Feb-14;671.46;712.27;655.25;682.90
10-Feb-14;681.32;703.71;550.50;681.03
11-Feb-14;683.50;712.46;636.66;672.17
12-Feb-14;672.38;672.90;643.04;651.72
13-Feb-14;651.08;657.99;601.91;605.24
14-Feb-14;601.17;691.72;541.04;661.99
15-Feb-14;660.90;661.84;632.84;650.92
16-Feb-14;651.30;665.10;584.17;616.63
17-Feb-14;614.23;656.95;607.31;626.27
18-Feb-14;627.16;645.76;612.54;626.60
19-Feb-14;625.97;631.77;618.70;623.03
20-Feb-14;623.09;627.73;556.14;556.14
21-Feb-14;556.88;582.96;530.47;574.16
22-Feb-14;574.24;614.48;558.58;605.42
23-Feb-14;606.47;639.91;599.70;605.82
24-Feb-14;606.04;607.61;538.70;546.32
